,precision,recall,f1-score,support
0,0.08370044052863436,0.926829268292683,0.15353535353535352,41.0
1,0.11854103343465046,0.9285714285714286,0.2102425876010782,42.0
2,0.09259259259259259,0.7142857142857143,0.16393442622950818,28.0
3,0.14308943089430895,0.9361702127659575,0.24823695345557123,94.0
4,0.07692307692307693,0.8125,0.14054054054054055,32.0
5,0.09259259259259259,0.8125,0.16624040920716113,80.0
6,0.9699306090979183,0.34617501375894333,0.5102413303589537,3634.0
accuracy,0.3882561376866616,0.3882561376866616,0.3882561376866616,0.3882561376866616
macro avg,0.22533853943768203,0.7824330910963895,0.22756737156116663,3951.0
weighted avg,0.9007973221699235,0.3882561376866616,0.48470339162028664,3951.0
